Date,SPY,QQQ,TLT,GLD,EFA
2015-01-01,100.50064080821097,100.4401670814921,100.32771067730188,101.44776258496846,100.32105536924156
2015-01-02,100.26347148583996,101.24103765605807,100.92938340441484,101.08721211098172,100.72260034067672
2015-01-05,99.79515972945255,100.42567170320716,101.22774560097712,99.44829029147803,98.88765386700054
2015-01-06,99.229588066842,99.14589418939518,101.60727026783137,98.72896883318106,97.21056434728251
2015-01-07,100.69544237680725,100.5534865193734,101.26267221391963,97.5938085978727,97.93221819851516
2015-01-08,100.80801933941348,99.90480706210492,101.50652918544705,97.19112740613436,97.63795147910162
2015-01-09,100.19665573872427,100.48921003750921,101.65167754733777,96.20541961881753,97.91861449120486
2015-01-12,98.96374116210586,99.31471096802545,100.5686797575795,94.74280532464053,96.97329478029751
2015-01-13,99.70033259379892,100.21306985900193,100.28921343055639,94.50329342305886,96.53266734327126
2015-01-14,98.97697202001122,99.13417677147878,101.2325951383329,94.92819644838194,94.66299758985343
2015-01-15,99.30027627854602,99.224873079968,100.66195066857024,95.35704848804701,95.61301810492581
2015-01-16,100.23235050874513,99.6617921343128,100.1965518464362,95.65340094331779,96.96046231313301
2015-01-19,99.7482661081026,99.02757814410528,99.53930250106305,94.48254173694183,97.04348825250659
2015-01-20,101.11178646327824,100.41852406237078,99.88972041008829,94.98677979760414,97.72637013164264
2015-01-21,101.4800887058472,101.83220426824346,99.76335727794566,96.22827875225536,96.42413493914832
2015-01-22,102.32074961707491,102.78733594443041,99.3348771721419,96.29112950674681,95.69923383687983
2015-01-23,102.09420282976014,102.78914844476046,100.43088445513655,96.06091880658708,94.99364709501114
2015-01-26,101.57788838841664,102.86131287381772,100.79470482690832,95.61568403351889,95.04279487357442
2015-01-27,101.67727724562789,103.62951641376539,100.26423429172615,95.20790807579915,94.94412595543818
2015-01-28,100.17745157406117,102.20901796717241,100.83674550808288,95.17920839604493,93.64055585096528
2015-01-29,98.74836050387997,100.37447333098099,100.97116327474589,94.42238454812829,92.30513230445297
2015-01-30,99.1505082492483,102.06531027040138,100.98121124901938,94.60863350746953,92.82088985040214
2015-02-02,97.2329973034003,99.95010096405595,101.53701557677364,96.55619528383473,91.29150428887678
2015-02-03,97.52851867309069,100.24984053284318,100.61586502341504,97.34794034648695,92.06390788610173
2015-02-04,98.30609917806169,100.49401893477814,101.40801742701888,96.44880175353136,92.92138160440206
2015-02-05,100.47647346426646,102.19071429508126,100.41727528101244,96.5751346383439,94.18075714351848
2015-02-06,98.90610472570873,100.54023175240528,100.07364353203911,96.741007293686,92.31770280533492
2015-02-09,100.45120307706219,101.68638155472422,99.43785741383506,97.4679815459978,92.63553749581706
2015-02-10,100.68149556134077,102.81623538106058,98.24148085240812,97.33879583694032,93.14013279829439
2015-02-11,101.47486915535329,102.83300413894632,97.12404482930715,97.65513194169787,93.81381002975613
2015-02-12,101.73106586446346,103.34530242533924,96.59078778083465,97.7449472269997,94.26094705510057
2015-02-13,100.99860366260597,103.83442112975057,97.09096449371194,96.71024144016712,94.32889292411238
